ID товараПолное наименованиеРейтингЦель из Ф4Необходимое кол-во отзывов с 5*Количество5*4*3*2*1*Ссылка на товар (url)
32290303Фотон /  Батарейка высоковольтная Фотон 23A (MN21), 1 шт. (23A-F1)4.74Все ОК21190011https://www.wildberries.ru/catalog/32290303/detail.aspx?targetUrl=EX#Comments
32290304Фотон /  Батарейка 27А4.74Все ОК1090010https://www.wildberries.ru/catalog/32290304/detail.aspx?targetUrl=EX#Comments
32290305Фотон /  Батарейки LR41,10 шт.5.04Все ОК11110000https://www.wildberries.ru/catalog/32290305/detail.aspx?targetUrl=EX#Comments
32290306Фотон /  Батарейки LR43 , 10 шт.4.34Все ОК650001https://www.wildberries.ru/catalog/32290306/detail.aspx?targetUrl=EX#Comments
32290308Фотон /  Батарейки дисковые AG13, LR44, A76,10шт.4.74Все ОК18160101https://www.wildberries.ru/catalog/32290308/detail.aspx?targetUrl=EX#Comments
32290299Фотон /  Батарейки LR54,10 шт4.54Все ОК1191001https://www.wildberries.ru/catalog/32290299/detail.aspx?targetUrl=EX#Comments
32290302Фотон /  Батарейки АА/LR6/пальчиковые/10 шт.4.64Все ОК12101001https://www.wildberries.ru/catalog/32290302/detail.aspx?targetUrl=EX#Comments
32290301Фотон /  Батарейки ААА/LR03/мизинчиковые/10 шт.4.64Все ОК980001https://www.wildberries.ru/catalog/32290301/detail.aspx?targetUrl=EX#Comments
45694724Контакт /  Герметик акриловый универсальный морозостойкий, белый, 280мл, для ванной, для кухни5.04Все ОК550000https://www.wildberries.ru/catalog/45694724/detail.aspx?targetUrl=EX#Comments
45694722Контакт /  Герметик силиконовый нейтральный, белый, 280мл, для ванной, для кухни5.04Все ОК110000https://www.wildberries.ru/catalog/45694722/detail.aspx?targetUrl=EX#Comments
45702505Контакт /  Герметик силиконовый нейтральный, прозрачный, 280мл, для ванной, для кухниNone4Работа с отзывами000000https://www.wildberries.ru/catalog/45702505/detail.aspx?targetUrl=EX#Comments
45694725Контакт /  Герметик силиконовый санитарный, белый, 280мл, для ванной, для кухни4.84Все ОК15140010https://www.wildberries.ru/catalog/45694725/detail.aspx?targetUrl=EX#Comments
45694720Контакт /  Герметик силиконовый санитарный, прозрачный, 280мл, для ванной, для кухни4.74Все ОК15140001https://www.wildberries.ru/catalog/45694720/detail.aspx?targetUrl=EX#Comments
45694721Контакт /  Герметик силиконовый универсальный, белый, 280мл, для ванной, для кухни4.04Все ОК101000https://www.wildberries.ru/catalog/45694721/detail.aspx?targetUrl=EX#Comments
45694723Контакт /  Герметик силиконовый универсальный, прозрачный, 280мл, для ванной, для кухниNone4Работа с отзывами000000https://www.wildberries.ru/catalog/45694723/detail.aspx?targetUrl=EX#Comments
10309956Фотон /  Светильник с пультом ДУ "ФОТОН", "Маша и Медведь", Разноцветная лампа4.54Все ОК45363303https://www.wildberries.ru/catalog/10309956/detail.aspx?targetUrl=EX#Comments
11117030Safeline /  Изолента Safeline 15 мм. / 10 м. , ГОСТ, 10 шт. ( ПВХ )4.24Все ОК45341208https://www.wildberries.ru/catalog/11117030/detail.aspx?targetUrl=EX#Comments
11117014Safeline /  Изолента Safeline 15 мм. / 10 м. , ГОСТ, 10 шт. ( ПВХ )4.24Все ОК45341208https://www.wildberries.ru/catalog/11117014/detail.aspx?targetUrl=EX#Comments
11117017Safeline /  Изолента Safeline 15 мм. / 10 м. , ГОСТ, 10 шт. ( ПВХ )4.24Все ОК45341208https://www.wildberries.ru/catalog/11117017/detail.aspx?targetUrl=EX#Comments
11117016Safeline /  Изолента Safeline 15 мм. / 10 м. , ГОСТ, 10 шт. ( ПВХ )4.24Все ОК45341208https://www.wildberries.ru/catalog/11117016/detail.aspx?targetUrl=EX#Comments
