ID товара;Полное наименование;Рейтинг;Цель из Ф4;Необходимое кол-во отзывов с 5*;Количество;5*;4*;3*;2*;1*;Ссылка на товар (url)
32290303;Фотон /  Батарейка высоковольтная Фотон 23A (MN21), 1 шт. (23A-F1);4.7;4;Все ОК;21;19;0;0;1;1;https://www.wildberries.ru/catalog/32290303/detail.aspx?targetUrl=EX#Comments
32290304;Фотон /  Батарейка 27А;4.7;4;Все ОК;10;9;0;0;1;0;https://www.wildberries.ru/catalog/32290304/detail.aspx?targetUrl=EX#Comments
32290305;Фотон /  Батарейки LR41,10 шт.;5.0;4;Все ОК;11;11;0;0;0;0;https://www.wildberries.ru/catalog/32290305/detail.aspx?targetUrl=EX#Comments
32290306;Фотон /  Батарейки LR43 , 10 шт.;4.3;4;Все ОК;6;5;0;0;0;1;https://www.wildberries.ru/catalog/32290306/detail.aspx?targetUrl=EX#Comments
32290308;Фотон /  Батарейки дисковые AG13, LR44, A76,10шт.;4.7;4;Все ОК;18;16;0;1;0;1;https://www.wildberries.ru/catalog/32290308/detail.aspx?targetUrl=EX#Comments
32290299;Фотон /  Батарейки LR54,10 шт;4.5;4;Все ОК;11;9;1;0;0;1;https://www.wildberries.ru/catalog/32290299/detail.aspx?targetUrl=EX#Comments
32290302;Фотон /  Батарейки АА/LR6/пальчиковые/10 шт.;4.6;4;Все ОК;12;10;1;0;0;1;https://www.wildberries.ru/catalog/32290302/detail.aspx?targetUrl=EX#Comments
32290301;Фотон /  Батарейки ААА/LR03/мизинчиковые/10 шт.;4.6;4;Все ОК;9;8;0;0;0;1;https://www.wildberries.ru/catalog/32290301/detail.aspx?targetUrl=EX#Comments
45694724;Контакт /  Герметик акриловый универсальный морозостойкий, белый, 280мл, для ванной, для кухни;5.0;4;Все ОК;5;5;0;0;0;0;https://www.wildberries.ru/catalog/45694724/detail.aspx?targetUrl=EX#Comments
45694722;Контакт /  Герметик силиконовый нейтральный, белый, 280мл, для ванной, для кухни;5.0;4;Все ОК;1;1;0;0;0;0;https://www.wildberries.ru/catalog/45694722/detail.aspx?targetUrl=EX#Comments
45702505;Контакт /  Герметик силиконовый нейтральный, прозрачный, 280мл, для ванной, для кухни;;4;Работа с отзывами;0;0;0;0;0;0;https://www.wildberries.ru/catalog/45702505/detail.aspx?targetUrl=EX#Comments
45694725;Контакт /  Герметик силиконовый санитарный, белый, 280мл, для ванной, для кухни;4.8;4;Все ОК;15;14;0;0;1;0;https://www.wildberries.ru/catalog/45694725/detail.aspx?targetUrl=EX#Comments
45694720;Контакт /  Герметик силиконовый санитарный, прозрачный, 280мл, для ванной, для кухни;4.7;4;Все ОК;15;14;0;0;0;1;https://www.wildberries.ru/catalog/45694720/detail.aspx?targetUrl=EX#Comments
45694721;Контакт /  Герметик силиконовый универсальный, белый, 280мл, для ванной, для кухни;4.0;4;Все ОК;1;0;1;0;0;0;https://www.wildberries.ru/catalog/45694721/detail.aspx?targetUrl=EX#Comments
45694723;Контакт /  Герметик силиконовый универсальный, прозрачный, 280мл, для ванной, для кухни;;4;Работа с отзывами;0;0;0;0;0;0;https://www.wildberries.ru/catalog/45694723/detail.aspx?targetUrl=EX#Comments
10309956;"Фотон /  Светильник с пультом ДУ ""ФОТОН"", ""Маша и Медведь"", Разноцветная лампа";4.5;4;Все ОК;45;36;3;3;0;3;https://www.wildberries.ru/catalog/10309956/detail.aspx?targetUrl=EX#Comments
11117030;Safeline /  Изолента Safeline 15 мм. / 10 м. , ГОСТ, 10 шт. ( ПВХ );4.2;4;Все ОК;45;34;1;2;0;8;https://www.wildberries.ru/catalog/11117030/detail.aspx?targetUrl=EX#Comments
11117014;Safeline /  Изолента Safeline 15 мм. / 10 м. , ГОСТ, 10 шт. ( ПВХ );4.2;4;Все ОК;45;34;1;2;0;8;https://www.wildberries.ru/catalog/11117014/detail.aspx?targetUrl=EX#Comments
11117017;Safeline /  Изолента Safeline 15 мм. / 10 м. , ГОСТ, 10 шт. ( ПВХ );4.2;4;Все ОК;45;34;1;2;0;8;https://www.wildberries.ru/catalog/11117017/detail.aspx?targetUrl=EX#Comments
